3NA0PU0UJA,12/12/2025 9:10,500,Home,Game,12/13/2025 9:10,12/13/2025 10:10,L005,R001,T001
5DQUOC5DH4,12/13/2025 9:10,600,,Movie,12/14/2025 9:10,12/14/2025 10:10,L010,R002,T002
BFITHAEXUF,12/14/2025 9:10,1000,,Karaoke,12/15/2025 9:10,12/15/2025 11:10,L003,R003,T003
NO19XPRH5N,12/15/2025 9:10,400,,Lunch,12/16/2025 9:10,12/16/2025 10:10,L005,R004,T004
NEE4HRWMX1,12/16/2025 9:10,500,Might Rain,Basketball,12/17/2025 9:10,12/17/2025 10:10,L001,R005,T005
L7TJW1ZWKW,12/17/2025 9:10,700,Home,Game,12/18/2025 9:10,12/18/2025 10:10,L005,R006,T006
FEXDDEQ5YU,12/18/2025 9:10,500,Home,Game,12/19/2025 9:10,12/19/2025 10:10,L001,R007,T007
ZYXRFFN8CH,12/19/2025 9:10,500,,Game,12/20/2025 9:10,12/20/2025 10:10,L006,R008,T008
TU8RTIF9C5,12/20/2025 9:10,1000,Might Rain,Football,12/21/2025 9:10,12/21/2025 11:10,L001,R009,T009
JSCOVTHT83,12/21/2025 9:10,800,Home,Karaoke,12/22/2025 9:10,12/22/2025 10:10,L005,R010,T010
QMI27KXF6G,12/22/2025 9:10,600,,Movie,12/23/2025 9:10,12/23/2025 10:10,L003,R011,T011
T3OU5FTO0Q,12/23/2025 9:10,700,,Lunch,12/24/2025 9:10,12/24/2025 10:10,L009,R012,T012
Z91KTSEDQS,12/24/2025 9:10,400,Might Rain,Travel,12/25/2025 9:10,12/25/2025 10:10,L010,R013,T013
8OJDFI3B24,12/25/2025 9:10,900,,Dinner,12/26/2025 9:10,12/26/2025 10:10,L001,R014,T014
2QUF4L9Y1I,12/26/2025 9:10,600,,Café,12/27/2025 9:10,12/27/2025 10:10,L005,R015,T015
NW1XVHH8VL,12/27/2025 9:10,500,Home,Game,12/28/2025 9:10,12/28/2025 10:10,L006,R016,T016
39CP62GC9X,12/28/2025 9:10,700,,Movie,12/29/2025 9:10,12/29/2025 10:10,L003,R017,T017
6VC03SV30G,12/29/2025 9:10,400,Home,Movie,12/30/2025 9:10,12/30/2025 10:10,L004,R018,T018
923R4RBP16,12/30/2025 9:10,1000,,Game,12/31/2025 9:10,12/31/2025 11:10,L006,R019,T019
UWRPDMH53A,12/31/2025 9:10,1000000,,Golf,1/1/2026 9:10,5/1/2026 10:10,L011,R020,T020
